"","gender","ethnicity","birth","grade","star","read","math","lunch","school","degree","ladder","experience","tethnicity","system","schoolid","id","read_lag","math_lag","q30_read","q30_math","bottom30","star_sel"
"6053","female","cauc",1980 Q2,"kindergarten","small",388,405,"free","rural","master","level1",9,"cauc","9","12","121917",NA,NA,NA,NA,NA,NA
"6054","female","cauc",1980 Q2,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"121917",388,405,419,459,TRUE,TRUE
"6055","female","cauc",1980 Q2,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"121917",NA,NA,485,507,NA,NA
"6056","female","cauc",1980 Q2,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"121917",NA,NA,557,557,NA,NA
"6057","female","afam",1979 Q2,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"121932",NA,NA,NA,NA,NA,NA
"6058","female","afam",1979 Q2,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"121932",NA,NA,419,459,NA,NA
"6059","female","afam",1979 Q2,"2nd","regular",526,538,"free","inner-city","bachelor","probation",2,"cauc","11","33","121932",NA,NA,485,507,NA,TRUE
"6060","female","afam",1979 Q2,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"121932",526,538,557,557,TRUE,TRUE
"6061","male","cauc",1980 Q2,"kindergarten","regular",422,473,"non-free","suburban","master","level1",22,"cauc","28","61","121948",NA,NA,NA,NA,NA,TRUE
"6062","male","cauc",1980 Q2,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"121948",422,473,419,459,FALSE,NA
"6063","male","cauc",1980 Q2,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"121948",NA,NA,485,507,NA,NA
"6064","male","cauc",1980 Q2,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"121948",NA,NA,557,557,NA,NA
"6065","male","amindian",1979 Q2,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"121966",NA,NA,NA,NA,NA,NA
"6066","male","amindian",1979 Q2,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"121966",NA,NA,419,459,NA,NA
"6067","male","amindian",1979 Q2,"2nd","regular+aide",508,541,"non-free","rural","master","level1",27,"cauc","33","67","121966",NA,NA,485,507,NA,TRUE
"6068","male","amindian",1979 Q2,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"121966",508,541,557,557,TRUE,TRUE
"6069","female","afam",1980 Q3,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"121978",NA,NA,NA,NA,NA,NA
"6070","female","afam",1980 Q3,"1st","regular",519,529,"non-free","suburban","bachelor","level1",3,"afam","11","24","121978",NA,NA,419,459,NA,TRUE
"6071","female","afam",1980 Q3,"2nd","regular",562,543,"non-free","suburban","bachelor","notladder",4,"afam","11","24","121978",519,529,485,507,FALSE,TRUE
"6072","female","afam",1980 Q3,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"121978",562,543,557,557,TRUE,TRUE
"6073","male","afam",1977 Q4,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12198",NA,NA,NA,NA,NA,NA
"6074","male","afam",1977 Q4,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12198",NA,NA,419,459,NA,NA
"6075","male","afam",1977 Q4,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12198",NA,NA,485,507,NA,NA
"6076","male","afam",1977 Q4,"3rd","small",NA,NA,"free","inner-city","bachelor","probation",2,"afam","11","26","12198",NA,NA,557,557,NA,NA
"6077","female","afam",1980 Q1,"kindergarten","regular",461,528,"free","inner-city","bachelor",NA,2,"cauc","11","32","121999",NA,NA,NA,NA,NA,TRUE
"6078","female","afam",1980 Q1,"1st","regular+aide",536,545,"free","inner-city","bachelor","level1",10,"cauc","11","32","121999",461,528,419,459,FALSE,TRUE
"6079","female","afam",1980 Q1,"2nd","regular+aide",608,593,"free","inner-city","bachelor","level1",14,"cauc","11","32","121999",536,545,485,507,FALSE,TRUE
"6080","female","afam",1980 Q1,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"121999",608,593,557,557,FALSE,NA
"6081","male","afam",1979 Q1,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122017",NA,NA,NA,NA,NA,NA
"6082","male","afam",1979 Q1,"1st","regular",456,490,"free","suburban","bachelor","level1",5,"afam","11","17","122017",NA,NA,419,459,NA,TRUE
"6083","male","afam",1979 Q1,"2nd","regular",527,531,"free","suburban","bachelor","notladder",12,"cauc","11","17","122017",456,490,485,507,TRUE,TRUE
"6084","male","afam",1979 Q1,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122017",527,531,557,557,TRUE,TRUE
"6085","male","cauc",1980 Q1,"kindergarten","regular",439,506,"non-free","urban","bachelor","probation",0,"cauc","26","59","122032",NA,NA,NA,NA,NA,TRUE
"6086","male","cauc",1980 Q1,"1st","regular+aide",519,535,"non-free","urban","master","level1",12,"cauc","26","59","122032",439,506,419,459,FALSE,TRUE
"6087","male","cauc",1980 Q1,"2nd","regular+aide",643,593,"non-free","urban","master","level1",13,"cauc","26","59","122032",519,535,485,507,FALSE,TRUE
"6088","male","cauc",1980 Q1,"3rd","regular+aide",616,642,"non-free","urban","master","level1",7,"cauc","26","59","122032",643,593,557,557,FALSE,TRUE
"6089","female","afam",1979 Q1,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122047",NA,NA,NA,NA,NA,NA
"6090","female","afam",1979 Q1,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122047",NA,NA,419,459,NA,NA
"6091","female","afam",1979 Q1,"2nd","regular+aide",547,528,"free","suburban","master","level1",18,"afam","11","21","122047",NA,NA,485,507,NA,TRUE
"6092","female","afam",1979 Q1,"3rd","regular+aide",580,559,"free","suburban","bachelor","level1",25,"afam","11","21","122047",547,528,557,557,TRUE,TRUE
"6093","female","cauc",1980 Q3,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122058",NA,NA,NA,NA,NA,NA
"6094","female","cauc",1980 Q3,"1st","regular+aide",480,538,"non-free","suburban","master","level1",29,"cauc","4","4","122058",NA,NA,419,459,NA,TRUE
"6095","female","cauc",1980 Q3,"2nd","regular+aide",627,632,"non-free","suburban","bachelor","level1",33,"cauc","4","4","122058",480,538,485,507,TRUE,TRUE
"6096","female","cauc",1980 Q3,"3rd","regular+aide",665,645,"non-free","suburban","master","apprentice",2,"cauc","4","4","122058",627,632,557,557,FALSE,TRUE
"6097","male","afam",1979 Q3,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122074",NA,NA,NA,NA,NA,NA
"6098","male","afam",1979 Q3,"1st","regular+aide",472,532,"free","rural","master","level1",9,"cauc","34","68","122074",NA,NA,419,459,NA,TRUE
"6099","male","afam",1979 Q3,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122074",472,532,485,507,TRUE,TRUE
"6100","male","afam",1979 Q3,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122074",NA,NA,557,557,NA,NA
"6101","male","cauc",1979 Q3,"kindergarten","small",451,506,"non-free","suburban","bachelor",NA,0,"cauc","4","4","122089",NA,NA,NA,NA,NA,NA
"6102","male","cauc",1979 Q3,"1st","small",571,627,"non-free","suburban","bachelor","apprentice",0,"cauc","4","4","122089",451,506,419,459,FALSE,FALSE
"6103","male","cauc",1979 Q3,"2nd","small",611,632,"non-free","suburban","bachelor","level1",14,"cauc","4","4","122089",571,627,485,507,FALSE,FALSE
"6104","male","cauc",1979 Q3,"3rd","small",616,711,"non-free","suburban","master","level1",18,"cauc","4","4","122089",611,632,557,557,FALSE,FALSE
"6105","female","cauc",1979 Q4,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122104",NA,NA,NA,NA,NA,NA
"6106","female","cauc",1979 Q4,"1st","regular",564,584,"non-free","suburban","master","level1",10,"cauc","28","61","122104",NA,NA,419,459,NA,TRUE
"6107","female","cauc",1979 Q4,"2nd","regular",573,620,"non-free","suburban","bachelor","apprentice",4,"cauc","28","61","122104",564,584,485,507,FALSE,TRUE
"6108","female","cauc",1979 Q4,"3rd","regular",612,634,"non-free","suburban","master","probation",4,"cauc","28","61","122104",573,620,557,557,FALSE,TRUE
"6109","male","cauc",1979 Q2,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122126",NA,NA,NA,NA,NA,NA
"6110","male","cauc",1979 Q2,"1st","regular+aide",512,592,"free","suburban","master","level1",29,"cauc","28","61","122126",NA,NA,419,459,NA,TRUE
"6111","male","cauc",1979 Q2,"2nd","regular+aide",596,648,"free","suburban","master","level1",12,"cauc","28","61","122126",512,592,485,507,FALSE,TRUE
"6112","male","cauc",1979 Q2,"3rd","regular+aide",636,711,"free","suburban","master","level1",6,"cauc","28","61","122126",596,648,557,557,FALSE,TRUE
"6113","female","afam",1980 Q1,"kindergarten","small",460,500,"non-free","suburban","bachelor","level1",21,"cauc","11","20","122144",NA,NA,NA,NA,NA,NA
"6114","female","afam",1980 Q1,"1st","small",604,557,"non-free","suburban","bachelor","apprentice",3,"cauc","11","20","122144",460,500,419,459,FALSE,FALSE
"6115","female","afam",1980 Q1,"2nd","small",596,565,"non-free","suburban","bachelor","level1",4,"cauc","11","20","122144",604,557,485,507,FALSE,FALSE
"6116","female","afam",1980 Q1,"3rd","small",644,586,"non-free","suburban","bachelor","level1",13,"afam","11","20","122144",596,565,557,557,FALSE,FALSE
"6117","male","cauc",1979 Q4,"kindergarten","regular+aide",495,559,"non-free","rural","master","level1",10,"cauc","36","72","12215",NA,NA,NA,NA,NA,TRUE
"6118","male","cauc",1979 Q4,"1st","regular",629,612,"non-free","rural","bachelor","level1",8,"cauc","36","72","12215",495,559,419,459,FALSE,TRUE
"6119","male","cauc",1979 Q4,"2nd","regular",709,674,"non-free","rural","bachelor","notladder",10,"afam","36","72","12215",629,612,485,507,FALSE,TRUE
"6120","male","cauc",1979 Q4,"3rd","regular",661,691,"non-free","rural","master","level1",13,"cauc","36","72","12215",709,674,557,557,FALSE,TRUE
"6121","male","cauc",1978 Q4,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122150",NA,NA,NA,NA,NA,NA
"6122","male","cauc",1978 Q4,"1st","regular",499,518,"free","rural","bachelor","probation",0,"cauc","4","5","122150",NA,NA,419,459,NA,TRUE
"6123","male","cauc",1978 Q4,"2nd","regular",555,530,"free","rural","bachelor","level1",9,"cauc","4","5","122150",499,518,485,507,FALSE,TRUE
"6124","male","cauc",1978 Q4,"3rd","regular",564,543,"free","rural","bachelor","level1",8,"cauc","4","5","122150",555,530,557,557,TRUE,TRUE
"6125","female","cauc",1980 Q2,"kindergarten","regular",448,513,"non-free","urban","bachelor","level1",3,"cauc","7","10","122174",NA,NA,NA,NA,NA,TRUE
"6126","female","cauc",1980 Q2,"1st","regular+aide",590,505,"non-free","urban","master","level1",14,"cauc","7","10","122174",448,513,419,459,FALSE,TRUE
"6127","female","cauc",1980 Q2,"2nd","regular+aide",586,577,"non-free","urban","master","level1",18,"cauc","7","10","122174",590,505,485,507,TRUE,TRUE
"6128","female","cauc",1980 Q2,"3rd","regular+aide",616,608,"non-free","urban","master","level1",36,"cauc","7","10","122174",586,577,557,557,FALSE,TRUE
"6129","female","cauc",1980 Q2,"kindergarten","small",NA,NA,"non-free","urban","master","level1",13,"cauc","13","37","122190",NA,NA,NA,NA,NA,NA
"6130","female","cauc",1980 Q2,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122190",NA,NA,419,459,NA,NA
"6131","female","cauc",1980 Q2,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122190",NA,NA,485,507,NA,NA
"6132","female","cauc",1980 Q2,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122190",NA,NA,557,557,NA,NA
"6133","female","cauc",1980 Q2,"kindergarten","small",433,484,"free","rural","master","level1",15,"cauc","35","70","122206",NA,NA,NA,NA,NA,NA
"6134","female","cauc",1980 Q2,"1st","small",NA,505,"non-free","rural","master","level1",12,"cauc","35","70","122206",433,484,419,459,FALSE,FALSE
"6135","female","cauc",1980 Q2,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122206",NA,505,485,507,TRUE,TRUE
"6136","female","cauc",1980 Q2,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122206",NA,NA,557,557,NA,NA
"6137","male","cauc",1980 Q2,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122221",NA,NA,NA,NA,NA,NA
"6138","male","cauc",1980 Q2,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122221",NA,NA,419,459,NA,NA
"6139","male","cauc",1980 Q2,"2nd","regular+aide",643,659,"non-free","suburban","bachelor","level1",25,"cauc","18","46","122221",NA,NA,485,507,NA,TRUE
"6140","male","cauc",1980 Q2,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122221",643,659,557,557,FALSE,NA
"6141","male","afam",1980 Q3,"kindergarten","regular+aide",410,454,"non-free","inner-city","bachelor","level1",9,"cauc","22","53","122233",NA,NA,NA,NA,NA,TRUE
"6142","male","afam",1980 Q3,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122233",410,454,419,459,TRUE,TRUE
"6143","male","afam",1980 Q3,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122233",NA,NA,485,507,NA,NA
"6144","male","afam",1980 Q3,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122233",NA,NA,557,557,NA,NA
"6145","female","hispanic",1980 Q4,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122248",NA,NA,NA,NA,NA,NA
"6146","female","hispanic",1980 Q4,"1st","regular",536,627,"non-free","urban","bachelor","level1",20,"cauc","6","9","122248",NA,NA,419,459,NA,TRUE
"6147","female","hispanic",1980 Q4,"2nd","regular",637,611,"non-free","urban","master","level1",15,"cauc","6","9","122248",536,627,485,507,FALSE,TRUE
"6148","female","hispanic",1980 Q4,"3rd","regular",NA,NA,NA,"urban","master","level3",16,"cauc","6","9","122248",637,611,557,557,FALSE,TRUE
"6149","male","afam",1980 Q3,"kindergarten","regular+aide",437,463,"free","inner-city","bachelor","level1",11,"cauc","11","31","122266",NA,NA,NA,NA,NA,TRUE
"6150","male","afam",1980 Q3,"1st","regular",441,484,NA,"inner-city","bachelor","level1",14,"cauc","11","31","122266",437,463,419,459,FALSE,TRUE
"6151","male","afam",1980 Q3,"2nd","regular",529,543,"free","inner-city","bachelor","notladder",32,"afam","11","31","122266",441,484,485,507,TRUE,TRUE
"6152","male","afam",1980 Q3,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122266",529,543,557,557,TRUE,TRUE
"6153","female","cauc",1980 Q1,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122287",NA,NA,NA,NA,NA,NA
"6154","female","cauc",1980 Q1,"1st","regular",497,500,"free","rural","bachelor","apprentice",2,"cauc","1","1","122287",NA,NA,419,459,NA,TRUE
"6155","female","cauc",1980 Q1,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122287",497,500,485,507,TRUE,TRUE
"6156","female","cauc",1980 Q1,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122287",NA,NA,557,557,NA,NA
"6157","male","cauc",1979 Q4,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122294",NA,NA,NA,NA,NA,NA
"6158","male","cauc",1979 Q4,"1st","regular+aide",651,584,"non-free","urban","master","level1",14,"cauc","7","10","122294",NA,NA,419,459,NA,TRUE
"6159","male","cauc",1979 Q4,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122294",651,584,485,507,FALSE,NA
"6160","male","cauc",1979 Q4,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122294",NA,NA,557,557,NA,NA
"6161","female","cauc",1980 Q2,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122317",NA,NA,NA,NA,NA,NA
"6162","female","cauc",1980 Q2,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122317",NA,NA,419,459,NA,NA
"6163","female","cauc",1980 Q2,"2nd","regular",NA,NA,"non-free","suburban","specialist","level1",15,"cauc","17","41","122317",NA,NA,485,507,NA,TRUE
"6164","female","cauc",1980 Q2,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122317",NA,NA,557,557,NA,NA
"6165","male","afam",1980 Q2,"kindergarten","regular",403,405,"free","inner-city","bachelor","apprentice",1,"afam","11","22","122334",NA,NA,NA,NA,NA,TRUE
"6166","male","afam",1980 Q2,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122334",403,405,419,459,TRUE,TRUE
"6167","male","afam",1980 Q2,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122334",NA,NA,485,507,NA,NA
"6168","male","afam",1980 Q2,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122334",NA,NA,557,557,NA,NA
"6169","male","afam",1980 Q2,"kindergarten","regular",391,418,"free","inner-city","bachelor","level1",12,"cauc","18","45","122348",NA,NA,NA,NA,NA,TRUE
"6170","male","afam",1980 Q2,"1st","regular",501,578,"free","inner-city","bachelor","probation",0,"afam","18","45","122348",391,418,419,459,TRUE,TRUE
"6171","male","afam",1980 Q2,"2nd","regular",512,543,"free","inner-city","bachelor","apprentice",1,"cauc","18","45","122348",501,578,485,507,FALSE,TRUE
"6172","male","afam",1980 Q2,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122348",512,543,557,557,TRUE,TRUE
"6173","male","afam",1978 Q3,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122362",NA,NA,NA,NA,NA,NA
"6174","male","afam",1978 Q3,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122362",NA,NA,419,459,NA,NA
"6175","male","afam",1978 Q3,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122362",NA,NA,485,507,NA,NA
"6176","male","afam",1978 Q3,"3rd","small",562,577,"free","inner-city","master","level1",21,"afam","11","15","122362",NA,NA,557,557,NA,NA
"6177","female","afam",1979 Q4,"kindergarten","regular",434,528,"free","suburban","master","level1",24,"cauc","18","44","122374",NA,NA,NA,NA,NA,TRUE
"6178","female","afam",1979 Q4,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122374",434,528,419,459,FALSE,NA
"6179","female","afam",1979 Q4,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122374",NA,NA,485,507,NA,NA
"6180","female","afam",1979 Q4,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122374",NA,NA,557,557,NA,NA
"6181","male","cauc",1980 Q2,"kindergarten","regular+aide",NA,NA,"non-free","rural","bachelor","level1",10,"cauc","34","68","122398",NA,NA,NA,NA,NA,TRUE
"6182","male","cauc",1980 Q2,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122398",NA,NA,419,459,NA,NA
"6183","male","cauc",1980 Q2,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122398",NA,NA,485,507,NA,NA
"6184","male","cauc",1980 Q2,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122398",NA,NA,557,557,NA,NA
"6185","female","cauc",1979 Q4,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1224",NA,NA,NA,NA,NA,NA
"6186","female","cauc",1979 Q4,"1st","regular+aide",475,512,"non-free","rural","master","apprentice",8,"cauc","4","5","1224",NA,NA,419,459,NA,TRUE
"6187","female","cauc",1979 Q4,"2nd","regular+aide",573,550,"non-free","rural","master","level1",13,"afam","4","5","1224",475,512,485,507,TRUE,TRUE
"6188","female","cauc",1979 Q4,"3rd","regular+aide",599,583,"non-free","rural","bachelor","level3",23,"cauc","4","5","1224",573,550,557,557,TRUE,TRUE
"6189","male","cauc",1980 Q1,"kindergarten","small",456,520,"non-free","rural","bachelor","level1",4,"cauc","5","7","12241",NA,NA,NA,NA,NA,NA
"6190","male","cauc",1980 Q1,"1st","small",558,542,"non-free","rural","master","level3",26,"cauc","5","7","12241",456,520,419,459,FALSE,FALSE
"6191","male","cauc",1980 Q1,"2nd","small",582,572,"non-free","rural","master","level1",9,"cauc","5","7","12241",558,542,485,507,FALSE,FALSE
"6192","male","cauc",1980 Q1,"3rd","small",577,571,"non-free","rural","bachelor","level3",23,"cauc","5","7","12241",582,572,557,557,FALSE,FALSE
"6193","male","cauc",1979 Q1,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122416",NA,NA,NA,NA,NA,NA
"6194","male","cauc",1979 Q1,"1st","regular+aide",514,549,"non-free","suburban","bachelor","level1",20,"cauc","11","17","122416",NA,NA,419,459,NA,TRUE
"6195","male","cauc",1979 Q1,"2nd","regular+aide",NA,NA,NA,"suburban","bachelor","level1",12,"afam","11","17","122416",514,549,485,507,FALSE,TRUE
"6196","male","cauc",1979 Q1,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122416",NA,NA,557,557,NA,NA
"6197","female","afam",1980 Q3,"kindergarten","regular",427,444,"free","urban","bachelor","level1",5,"cauc","13","37","122427",NA,NA,NA,NA,NA,TRUE
"6198","female","afam",1980 Q3,"1st","regular+aide",512,493,"free","urban","master","level2",11,"cauc","13","37","122427",427,444,419,459,TRUE,TRUE
"6199","female","afam",1980 Q3,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122427",512,493,485,507,TRUE,TRUE
"6200","female","afam",1980 Q3,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122427",NA,NA,557,557,NA,NA
"6201","female","cauc",1980 Q3,"kindergarten","regular+aide",428,513,"non-free","rural","master","level1",7,"cauc","30","63","122442",NA,NA,NA,NA,NA,TRUE
"6202","female","cauc",1980 Q3,"1st","regular+aide",540,553,"non-free","rural","bachelor","level1",9,"cauc","30","63","122442",428,513,419,459,FALSE,TRUE
"6203","female","cauc",1980 Q3,"2nd","regular+aide",608,603,"non-free","rural","bachelor","level1",8,"cauc","30","63","122442",540,553,485,507,FALSE,TRUE
"6204","female","cauc",1980 Q3,"3rd","regular+aide",604,642,"non-free","rural","bachelor","level1",15,"cauc","30","63","122442",608,603,557,557,FALSE,TRUE
"6205","male","cauc",1980 Q3,"kindergarten","regular",403,463,"non-free","suburban","bachelor",NA,3,"cauc","18","43","122457",NA,NA,NA,NA,NA,TRUE
"6206","male","cauc",1980 Q3,"1st","regular+aide",514,532,"non-free","suburban","master","notladder",18,"cauc","18","43","122457",403,463,419,459,TRUE,TRUE
"6207","male","cauc",1980 Q3,"2nd","regular+aide",591,590,"non-free","suburban","bachelor","level1",10,"cauc","18","43","122457",514,532,485,507,FALSE,TRUE
"6208","male","cauc",1980 Q3,"3rd","regular+aide",665,645,"non-free","suburban","bachelor","level1",22,"cauc","18","43","122457",591,590,557,557,FALSE,TRUE
"6209","female","cauc",1979 Q3,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122474",NA,NA,NA,NA,NA,NA
"6210","female","cauc",1979 Q3,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122474",NA,NA,419,459,NA,NA
"6211","female","cauc",1979 Q3,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122474",NA,NA,485,507,NA,NA
"6212","female","cauc",1979 Q3,"3rd","regular",631,634,"free","rural","bachelor","level1",5,"cauc","1","1","122474",NA,NA,557,557,NA,TRUE
"6213","male","afam",1979 Q3,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12249",NA,NA,NA,NA,NA,NA
"6214","male","afam",1979 Q3,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12249",NA,NA,419,459,NA,NA
"6215","male","afam",1979 Q3,"2nd","regular",514,517,"free","inner-city","master","level1",10,"cauc","11","19","12249",NA,NA,485,507,NA,TRUE
"6216","male","afam",1979 Q3,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12249",514,517,557,557,TRUE,TRUE
"6217","male","cauc",1980 Q1,"kindergarten","regular+aide",460,484,"free","rural","bachelor","level1",14,"cauc","37","73","122495",NA,NA,NA,NA,NA,TRUE
"6218","male","cauc",1980 Q1,"1st","regular+aide",651,553,"free","rural","bachelor","apprentice",1,"cauc","37","73","122495",460,484,419,459,FALSE,TRUE
"6219","male","cauc",1980 Q1,"2nd","regular+aide",622,626,"free","rural","master","level1",8,"cauc","37","73","122495",651,553,485,507,FALSE,TRUE
"6220","male","cauc",1980 Q1,"3rd","regular+aide",620,604,"non-free","rural","bachelor","level2",19,"cauc","37","73","122495",622,626,557,557,FALSE,TRUE
"6221","female","cauc",1980 Q2,"kindergarten","regular+aide",448,489,"non-free","rural","master","level1",10,"cauc","36","72","122509",NA,NA,NA,NA,NA,TRUE
"6222","female","cauc",1980 Q2,"1st","regular+aide",590,545,"non-free","rural","master","level1",7,"cauc","36","72","122509",448,489,419,459,FALSE,TRUE
"6223","female","cauc",1980 Q2,"2nd","regular+aide",637,596,"non-free","rural","master","probation",13,"cauc","36","72","122509",590,545,485,507,FALSE,TRUE
"6224","female","cauc",1980 Q2,"3rd","regular+aide",612,576,"non-free","rural","master","level1",7,"cauc","36","72","122509",637,596,557,557,FALSE,TRUE
"6225","male","afam",1980 Q3,"kindergarten","regular",411,399,"free","inner-city","master","probation",6,"cauc","11","33","122523",NA,NA,NA,NA,NA,TRUE
"6226","male","afam",1980 Q3,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122523",411,399,419,459,TRUE,TRUE
"6227","male","afam",1980 Q3,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122523",NA,NA,485,507,NA,NA
"6228","male","afam",1980 Q3,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122523",NA,NA,557,557,NA,NA
"6229","female","afam",1980 Q3,"kindergarten","regular",414,429,"free","inner-city","master","level1",15,"afam","11","26","122537",NA,NA,NA,NA,NA,TRUE
"6230","female","afam",1980 Q3,"1st",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122537",414,429,419,459,TRUE,TRUE
"6231","female","afam",1980 Q3,"2nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122537",NA,NA,485,507,NA,NA
"6232","female","afam",1980 Q3,"3rd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122537",NA,NA,557,557,NA,NA
"6233","male","afam",1979 Q4,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122552",NA,NA,NA,NA,NA,NA
